name,class,tier,mode,build,video,duration,created_at,updated_at
goldfarmingGUIDE,sorcerer,120,softcore,https://mobalytics.gg/diablo-4/profile/be8635af-0e26-4d16-8e47-026eecfb5662/builds/cc729a47-5934-4cc2-a61d-d0abde4c6a34?coreTab=assigned-skills&equipmentTab=aspects-and-uniques&variantTab=2,https://www.youtube.com/watch?v=_fKFPfAI_R0,150,2024-08-09T04:00:00Z,2024-08-09T04:00:00Z
퓨,sorcerer,101,softcore,"""""",https://www.youtube.com/watch?v=GPAowdufms4&t=18s,135,2024-08-08T04:00:00Z,2024-08-08T04:00:00Z
PsychoItalo,druid,125,softcore,https://mobalytics.gg/diablo-4/profile/3b97d921-d228-4c41-ae0c-7be7eea95b34/builds/6cdddfe4-9a75-45e4-a5bc-77c0ed2a474c,https://www.youtube.com/watch?v=aUPNcp-wnyk,795,2024-08-08T04:00:00Z,2024-08-08T04:00:00Z
Arccueid,sorcerer,101,softcore,"""""",https://www.youtube.com/watch?v=WyVZaCZ2Eps,95,2024-08-08T04:00:00Z,2024-08-08T04:00:00Z
Original Gamer,sorcerer,101,softcore,https://mobalytics.gg/diablo-4/profile/fc89c8da-b215-4e10-b42b-6d48e1102704/builds/9ab1ecfe-7c1a-4212-b837-69c4b8318b45,https://www.youtube.com/watch?v=e_yfy58Sozc,150,2024-08-08T04:00:00Z,2024-08-08T04:00:00Z
Damz,sorcerer,101,softcore,https://mobalytics.gg/diablo-4/profile/5ca70f4a-e566-41c6-93d3-febd1289eafd/builds/8e068b33-27c9-4802-b159-d5a84804ee45,https://www.youtube.com/watch?v=vYMMoGwMAow,737,2024-08-08T04:00:00Z,2024-08-08T04:00:00Z
Lurkin,sorcerer,101,softcore,https://mobalytics.gg/diablo-4/builds/sorcerer/fireball-illuminator,https://www.youtube.com/watch?v=Y9ANUgh5Xt4,240,2024-08-07T04:00:00Z,2024-08-07T04:00:00Z
Guillaume,rogue,130,softcore,"""""",https://www.youtube.com/watch?v=0emTQiaN7i8,722,2024-08-11T04:00:00Z,2024-08-11T04:00:00Z
August Burns Red,necromancer,101,softcore,"""""",https://www.youtube.com/watch?v=FyjzbM63-Ac,144,2024-08-11T04:00:00Z,2024-08-11T04:00:00Z
Deivid,rogue,101,softcore,"""""",https://www.youtube.com/watch?v=22wmgNsjzwA,283,2024-08-11T04:00:00Z,2024-08-11T04:00:00Z
Nori,sorcerer,135,softcore,https://mobalytics.gg/diablo-4/profile/488e94b2-25a8-4b09-95aa-f74e532482cc/builds/fe5bcb74-9f16-443a-9d91-21a97b0594cd,https://www.youtube.com/watch?v=rrFrXCfRKQE,830,2024-08-11T04:00:00Z,2024-08-11T04:00:00Z
Seroc Ifkre,necromancer,130,softcore,https://www.wowhead.com/diablo-4/build/s5-bone-spirit-hordes-build-25297,https://www.youtube.com/watch?v=eK3Ised1NAo&t=77s,584,2024-08-10T04:00:00Z,2024-08-10T04:00:00Z
Emilyheartz987,sorcerer,123,softcore,https://maxroll.gg/d4/planner/1aka038u#2,https://www.youtube.com/watch?v=C5VkOqBGWpA,369,2024-08-10T04:00:00Z,2024-08-10T04:00:00Z
Arccueid,sorcerer,120,softcore,https://maxroll.gg/d4/planner/g2ebo0wz#1,https://www.youtube.com/watch?v=AeEC0jRokNE&t=116s,102,2024-08-10T04:00:00Z,2024-08-10T04:00:00Z
SKULM,necromancer,110,softcore,https://d4builds.gg/builds/3cf581ba-5a08-4d29-b17a-3154ff23ea14/?var=1,https://www.youtube.com/watch?v=zUVlE72EZX8,411,2024-08-10T04:00:00Z,2024-08-10T04:00:00Z
ThreeBelowZero,rogue,101,softcore,"""""",https://www.youtube.com/watch?v=Ga9ggt7mTF0,195,2024-08-10T04:00:00Z,2024-08-10T04:00:00Z
无剧透King,rogue,120,softcore,"""""",https://www.bilibili.com/video/BV1zeYyePEFR/,508,2024-08-11T04:00:00Z,2024-08-11T04:00:00Z
鳳華,sorcerer,140,softcore,https://www.d2core.com/d4/planner?bd=1hCE,https://www.bilibili.com/video/BV1CZ421T7jJ/,838,2024-08-10T04:00:00Z,2024-08-10T04:00:00Z
葡萄有点酸_,druid,101,softcore,https://www.d2core.com/d4/planner?bd=1i4y,https://www.bilibili.com/video/BV1TRYJeyE2h/,140,2024-08-10T04:00:00Z,2024-08-10T04:00:00Z
喵老仙,sorcerer,101,softcore,"""""",https://www.bilibili.com/video/BV1kJY7efEWb/,552,2024-08-10T04:00:00Z,2024-08-10T04:00:00Z
被占用的安,rogue,130,softcore,"""""",https://www.bilibili.com/video/BV1StYEeGE75/,325,2024-08-10T04:00:00Z,2024-08-10T04:00:00Z
大胖頭,sorcerer,110,softcore,"""""",https://www.bilibili.com/video/BV1LAYGeKEsJ/,225,2024-08-10T04:00:00Z,2024-08-10T04:00:00Z
喵老仙,sorcerer,101,softcore,"""""",https://www.bilibili.com/video/BV1j4YLejEHh/,900,2024-08-10T04:00:00Z,2024-08-10T04:00:00Z
我两个滑铲i,sorcerer,101,softcore,"""""",https://www.bilibili.com/video/BV1PQYLeFEz9/,67,2024-08-10T04:00:00Z,2024-08-10T04:00:00Z
竹子嘘嘘,sorcerer,101,softcore,"""""",https://www.bilibili.com/video/BV1HNYueTEAZ/,84,2024-08-09T04:00:00Z,2024-08-09T04:00:00Z
mino米诺mi,rogue,140,softcore,"""""",https://www.bilibili.com/video/BV1ofYReoEVX/,809,2024-08-11T04:00:00Z,2024-08-11T04:00:00Z
